#DEVICE_TYPE,DEVICE_ID,AIRCRAFT_MODEL,REGISTRATION,CN,TRACKED,IDENTIFIED,AIRCRAFT_TYPE
'I','4AD49A','DG-300','SE-UDZ','4G','Y','Y','1'
'F','4AD4C3','Ventus c','SEUFC','FC','Y','Y','1'
'I','4AD4C5','Discus','SE-UFE','FE','Y','Y','1'
'I','4AD4C8','Discus','SE-UFH','FH','Y','Y','1'
'I','4AD4D2','ASK-21','SE-UFR','FR','Y','Y','1'
'I','4AD4E5','Astir Jeans','SE-UGE','','Y','Y','1'
'I','4AD4F5','ASW-20','SE-UGU','J','Y','Y','1'
'I','4AD518','ASK-21','SE-UHX','','Y','Y','1'
'F','4AD526','DG-500','SE-UIF','VB','Y','Y','1'
'I','4AD54E','Ventus cM','SE-UJN','JN','Y','Y','1'
'F','4AD550','LS-6','SE-UJP','JP','Y','Y','1'
'I','4AD559','Valentin Taifun','SE-UJY','UJY','Y','Y','1'
'F','4AD575','DG-300','SE-UKU','VD','Y','Y','1'
'I','4AD588','DG-100','SE-ULH','','Y','Y','1'
'I','4AD589','DG-500','SE-ULI','LI','Y','Y','1'
'I','4AD5A1','DG-500','SE-UMA','MA','Y','Y','1'
'F','4AD5AA','DG-800','SE-UMJ','ULF','Y','Y','1'
'I','4AD5B5','DG-303','SE-UMU','MU','Y','Y','1'
'F','4AD5B6','Ventus cM','SE-UMV','CC','Y','Y','1'
'I','4AD5B8','ASW-19','SE-UMX','MX','Y','Y','1'
'F','4AD5B9','DG-1000','SE-UMY','VF','Y','Y','1'
'I','4AD5CC','ASK-21','SE-UNL','NL','Y','Y','1'
'I','4AD5CE','Pegase','SE-UNN','T1','Y','Y','1'
'F','4AD5D6','Duo Discus t','SE-UNV','V','Y','Y','1'
'F','4AD5E3','Ventus 2','SE-UOC','62','Y','Y','1'
'F','4AD5E5','LS-8a','SEUOE','VC','Y','Y','1'
'I','4AD5E9','DG-400','SE-UOI','','Y','Y','1'
'F','4AD5EE','DG-808 C','SE-UON','VG','Y','Y','1'
'I','4AD5FA','DG-500','SE-UOZ','OZ','Y','Y','1'
